Location_Name,County,Operator,Type,Address,City,State_province,Zip,Country_ISO3166_alpha2,Latitude,Longitude,Phone,URL,Languages,Devices_available,Accessibility,Clients,Public
"Oxford, MS",US,Med-Trans,"Oxford, MS","Oxford, MS",Oxford,MS,,,34.36641,-89.51877,,,EMS,Rotor,,,
"Perry, FL",US,Med-Trans,"Perry, FL","Perry, FL",Perry,FL,,,30.11744,-83.58181,,,EMS,Rotor,,,
"Saginaw, MI",US,Med-Trans,"Saginaw, MI","Saginaw, MI",Saginaw,MI,,,43.42004,-83.94904,,,EMS,Rotor,,,
"San Angelo, TX",US,Med-Trans,"San Angelo, TX","San Angelo, TX",San Angelo,TX,,,31.46484,-100.43984,,,EMS,Rotor,,,
"Scottsbluff, NE",US,Med-Trans,"Scottsbluff, NE","Scottsbluff, NE",Scottsbluff,NE,,,41.86663,-103.66717,,,EMS,Rotor,,,
"Selmar, TN",US,Med-Trans,"Selmar, TN","Selmar, TN",Selmar,TN,,,35.1701,-88.5923,,,EMS,Rotor,,,
"Seminole, TX",US,Med-Trans,"Seminole, TX","Seminole, TX",Seminole,TX,,,32.71899,-102.64491,,,EMS,Rotor,,,
Greenville Spartanburg International Airport,US,"Flexjet, Med-Trans",KGSP,"Spartanburg, SC",Spartanburg,SC,,,34.89567,-82.21886,,,"Corporate, EMS","Fixed-Wing, Rotor",,,
"St. Augustine, FL",US,Med-Trans,"St. Augustine, FL","St. Augustine, FL",St. Augustine,FL,,,29.8947,-81.31454,,,EMS,Rotor,,,
"St. David, AZ",US,Med-Trans,"St. David, AZ","St. David, AZ",St. David,AZ,,,31.89385,-110.22081,,,EMS,Rotor,,,
"St. Petersburg, FL",US,Med-Trans,"St. Petersburg, FL","St. Petersburg, FL",St. Petersburg,FL,,,27.77038,-82.66951,,,EMS,Rotor,,,
"Sumter, SC",US,Med-Trans,"Sumter, SC","Sumter, SC",Sumter,SC,,,33.92044,-80.34147,,,EMS,Rotor,,,
"Sweetwater, TN",US,Med-Trans,"Sweetwater, TN","Sweetwater, TN",Sweetwater,TN,,,35.60146,-84.46104,,,EMS,Rotor,,,
"Winchester, TN",US,Med-Trans,"Winchester, TN","Winchester, TN",Winchester,TN,,,35.18599,-86.11184,,,EMS,Rotor,,,
"Yulee, FL",US,Med-Trans,"Yulee, FL","Yulee, FL",Yulee,FL,,,30.62785,-81.59023,,,EMS,Rotor,,,
Louisville Muhammad Ali International Airport,US,"Mesa, Republic, Ameriflight, UPS, Flexjet",KSDF,"Louisville, KY",Louisville,KY,,,38.1744,-85.736,,,"Regional, Cargo, Corporate",Fixed-Wing,,,
"Norfolk, VA",US,"Flexjet, Metro Aviation","Norfolk, VA","Norfolk, VA",Norfolk,VA,,,36.88899,-76.24816,,,"Corporate, EMS","Fixed-Wing, Rotor",,,
Willow Run Airport,US,National,KYIP,"Van Buren, MI",Van Buren,MI,,,42.2379,-83.5304,,,Cargo,Fixed-Wing,,,
"Sylvania Heights, VA",US,PHI Air Medical,KEZF,"Sylvania Heights, VA",Sylvania Heights,VA,,,38.26705,-77.4485,,,EMS,Rotor,,,
"Highland Park, VA",US,PHI Air Medical,KFRR,"Highland Park, VA",Highland Park,VA,,,38.91737,-78.25473,,,EMS,Rotor,,,
Grants-Milan Municipal Airport,US,PHI Air Medical,KGNT,"Grants, NM",Grants,NM,,,35.16728,-107.90206,,,EMS,Rotor,,,
"Manassas, VA",US,PHI Air Medical,KHEF,"Manassas, VA",Manassas,VA,,,38.72253,-77.51525,,,EMS,Rotor,,,
"Leesburg, VA",US,PHI Air Medical,KJYO,"Leesburg, VA",Leesburg,VA,,,39.07638,-77.55665,,,EMS,Rotor,,,
Lynchburg Regional Preston Glenn Field,US,PHI Air Medical,KLYH,"Lynchburg, VA",Lynchburg,VA,,,37.32217,-79.2066,,,EMS,Rotor,,,
Socorro Municipal Airport,US,PHI Air Medical,KONM,"Socorro, NM",Socorro,NM,,,34.02247,-106.90314,,,EMS,Rotor,,,
Shenandoah Valley Regional Airport,US,PHI Air Medical,KSHD,"Weyers Cave, VA",Weyers Cave,VA,,,38.26253,-78.89996,,,EMS,Rotor,,,
"Rio Rancho, NM",US,PHI Air Medical,"Rio Rancho, NM","Rio Rancho, NM",Rio Rancho,NM,,,35.23338,-106.66447,,,EMS,Rotor,,,
Tranton Mercer Airport,US,Pray Aviation,KTTN,"Trenton, NJ",Trenton,NJ,,,40.27669,-74.81347,,,Pilot Training,Fixed Wing,,,
John Glenn Columbus International Airport,US,"Republic, Flexjet",KCMH,"Columbus, OH",Columbus,OH,,,39.998,-82.8919,,,"Regional, Corporate",Fixed-Wing,,,
Charlottesville Albemarle Airport,US,SevenBar,KCHO,"Deerwood, VA",Deerwood,VA,,,38.14101,-78.45247,,,EMS,Rotor,,,
Luis Munoz Marin International Airport,US,"Silver, Ameriflight",TJSJ,"San Juan, PR",San Juan,PR,,,18.4394,-66.0018,,,"Regional, Cargo",Fixed-Wing,,,
Fort Worth Alliance Airport,US,"Silver, Empire",KAFW,"Fort Worth, TX",Fort Worth,TX,,,32.9876,-97.3188,,,"Regional, Cargo",Fixed-Wing,,,
City of Colorado Springs Municipal Airport,US,SkyWest,KCOS,"Colorado Springs, CO",Colorado Springs,CO,,,38.8058,-104.701,,,Regional,Fixed-Wing,,,
Fresno Yosemite International Airport,US,SkyWest,KFAT,"Fresno, CA",Fresno,CA,,,36.7762,-119.718,,,Regional,Fixed-Wing,,,
Palm Springs International Airport,US,"SkyWest, Flexjet",KPSP,"Palm Springs, CA",Palm Springs,CA,,,33.8297,-116.507,,,"Regional, Corporate",Fixed-Wing,,,
San Diego International Airport,US,"SkyWest, Flexjet",KSAN,"San Diego, CA",San Diego,CA,,,32.7336,-117.19,,,"Regional, Corporate",Fixed-Wing,,,
Tucson International Airport,US,"SkyWest, Flexjet",KTUS,"Tucson, AZ",Tucson,AZ,,,32.115,-110.93805,,,"Regional, Corporate",Fixed-Wing,,,
Baltimore/Washington International Thurgood Marshall Airport,US,"Southwest, Flexjet",KBWI,"Homeland Park, MD",Homeland Park,MD,,,39.1754,-76.6683,,,"Major, Corporate",Fixed-Wing,,,
Dallas Love Field,US,Southwest,KDAL,"Dallas, TX",Dallas,TX,,,32.8471,-96.8518,,,Major,Fixed-Wing,,,
William P Hobby Airport,US,"Southwest, Flexjet",KHOU,"Houston, TX",Houston,TX,,,29.6454,-95.2789,,,"Major, Corporate",Fixed-Wing,,,
Chicago Midway International Airport,US,"Southwest, Flexjet",KMDW,"Chicago, IL",Chicago,IL,,,41.786,-87.7524,,,"Major, Corporate",Fixed-Wing,,,
Metropolitan Oakland International Airport,US,"Southwest, FedEx, Flexjet",KOAK,"Oakland, CA",Oakland,CA,,,37.7213,-122.221,,,"Major, Cargo, Corporate",Fixed-Wing,,,
Atlantic City International Airport,US,Spirit,KACY,"Egg Harbor Township, NJ",Egg Harbor Township,NJ,,,39.4576,-74.5772,,,Major,Fixed-Wing,,,
Cleveland Hopkins International Airport,US,"United, Flexjet",KCLE,"Cleveland, OH",Cleveland,OH,,,41.4117,-81.8498,,,"Legacy, Corporate",Fixed-Wing,,,
Guam International Airport,US,United,PGUM,"Barrigada Municipality, Guam",Barrigada Municipality,Guam,,,13.48548,144.79854,,,Legacy,Fixed-Wing,,,
Washington Dulles International Airport,US,"United, Air Wisconsin, CommutAir, Mesa, Flexjet",KIAD,"Washington, D.C.",Washington,DC,,,38.9445,-77.4558,,,"Legacy, Regional, Corporate",Fixed-Wing,,,
George Bush Intercontinental Houston Airport,US,"United, CommutAir, Mesa, SkyWest, Flexjet",KIAH,"Houston, TX",Houston,TX,,,29.9844,-95.3414,,,"Legacy, Regional, Corporate",Fixed-Wing,,,
Denver International Airport,US,"United, Frontier, Southwest, CommutAir, SkyWest, Flexjet",KDEN,"Denver, CO",Denver,CO,,,39.8617,-104.673,,,"Legacy, Major, Regional, Corporate",Fixed-Wing,,,
Newark Liberty International Airport,US,"United, JetBlue, GoJet, Republic, Flexjet",KEWR,"Newark, NJ",Newark,NJ,,,40.6925,-74.1687,,,"Legacy, Major, Regional, Corporate",Fixed-Wing,,,
13th Reconnaissance Squadron,US,US Air Force Reserve,Beale AFB,"Beale Air Force Base, CA",Beale Air Force Base,CA,,,,,,,,Fixed-Wing,,RQ-4,
18th Air Refueling Squadron,US,US Air Force Reserve,,"McConnell AFB, KS",McConnell AFB,KS,,,,,,,,Fixed-Wing,,"KC-46, KC-135",
2nd Special Operations Squadron,US,US Air Force Reserve,,"Hurlburt Field, FL",Hurlburt Field,FL,,,,,,,,Fixed-Wing,,MQ-9,
300/317/701 Airlift Squadron,US,US Air Force Reserve,,"Joint Base Charleston, SC",Joint Base Charleston,SC,,,,,,,,Fixed-Wing,,C-17,
301st Airlift Squadron,US,US Air Force Reserve,Travis AFB,"Travis Air Force Base, CA",Travis Air Force Base,CA,,,,,,,,Fixed-Wing,,C-17,
301st Fighter Squadron,US,US Air Force Reserve,,"Tyndall Air Force Base, FL",Tyndall Air Force Base,FL,,,,,,,,Fixed-Wing,,F-22,
301st Rescue Squadron,US,US Air Force Reserve,,"Patrick Air Force Base, FL",Patrick Air Force Base,FL,,,,,,,,Fixed-Wing,,HH-60,
302nd Fighter Squadron,US,US Air Force Reserve,,"Joint Base Elmendorf-Richardson, AK",Joint Base Elmendorf-Richardson,AK,,,,,,,,Fixed-Wing,,F-22,
303rd Fighter Squadron,US,US Air Force Reserve,,"Whiteman Air Force Base, MO",Whiteman Air Force Base,MO,,,,,,,,Fixed-Wing,,A-10,
305th Rescue Squadron / 47th Fighter Squadron,US,US Air Force Reserve,DM AFB,"Davis-Monthan Air Force Base, AZ",Davis-Monthan Air Force Base,AZ,,,,,,,,"Fixed-Wing, Rotor",,"A-10, HH-60",
307th Fighter Squadron,US,US Air Force Reserve,,"Seymour Johnson AFB, NC",Seymour Johnson AFB,NC,,,,,,,,Fixed-Wing,,F-15,
312th Airlift Squadron,US,US Air Force Reserve,Travis AFB,"Travis Air Force Base, CA",Travis Air Force Base,CA,,,,,,,,Fixed-Wing,,C-5,
313th Airlift Squadron,US,US Air Force Reserve,,"Joint Base Lewis-McChord, WA",Joint Base Lewis-McChord,WA,,,,,,,,Fixed-Wing,,C-17,
314th Air Refueling Squadron,US,US Air Force Reserve,,"Beale Air Force Base, CA",Beale Air Force Base,CA,,,,,,,,Fixed-Wing,,KC-135,
326th Airlift Squadron,US,US Air Force Reserve,,"Dover Air Force Base, DE",Dover Air Force Base,DE,,,,,,,,Fixed-Wing,,C-17,
327th Airlift Squadron,US,US Air Force Reserve,Little Rock AFB,"Little Rock Air Force Base, AR",Little Rock Air Force Base,AZ,,,,,,,,Fixed-Wing,,C-130,
328th Air Refueling Squadron,US,US Air Force Reserve,,"Niagara Falls Air Reserve Station, NY",Niagara Falls Air Reserve Station,NY,,,,,,,,Fixed-Wing,,KC-135,
336th Air Refueling Squadron,US,US Air Force Reserve,March ARB,"March Air Reserve Base, CA",March Air Reserve Base,CA,,,,,,,,Fixed-Wing,,KC-135,
337th Airlift Squadron,US,US Air Force Reserve,,"Westover Air Reserve Base, MA",Westover Air Reserve Base,MA,,,,,,,,Fixed-Wing,,C-5,
343rd Bomb Squadron,US,US Air Force Reserve,,"Barksdale Air Force Base, LA",Barksdale Air Force Base,LA,,,,,,,,Fixed-Wing,,B-52,
345th Bomb Squadron,US,US Air Force Reserve,,"Dyess Air Force Base, TX",Dyess Air Force Base,TX,,,,,,,,Fixed-Wing,,B-1,
356th Airlift Squadron,US,US Air Force Reserve,,"Joint Base San Antonio-Lackland, TX",Joint Base San Antonio-Lackland,TX,,,,,,,,Fixed-Wing,,C-5,
357th Airlift Squadron,US,US Air Force Reserve,,"Maxwell Air Force Base, AL",Maxwell Air Force Base,AL,,,,,,,,Fixed-Wing,,C-130,
39th Rescue Squadron,US,US Air Force Reserve,,"Patrick Air Force Base, FL",Patrick Air Force Base,FL,,,,,,,,Fixed-Wing,,HC-130,
429th Attack Squadron,US,US Air Force Reserve,,"Holloman Air Force Base, NM",Holloman Air Force Base,NM,,,,,,,,Fixed-Wing,,MQ-9,
457th Fighter Squadron,US,US Air Force Reserve,,"Joint Reserve Base Fort Worth, TX",Joint Reserve Base Fort Worth,TX,,,,,,,,Fixed-Wing,,F-16,
465th Air Refueling Squadron,US,US Air Force Reserve,,"Tinker Air Force Base, OK",Tinker Air Force Base,OK,,,,,,,,Fixed-Wing,,KC-135,
466th Fighter Squadron,US,US Air Force Reserve,,"Hill Air Force Base, UT",Hill Air Force Base,UT,,,,,,,,Fixed-Wing,,F-35,
53rd Weather Reconnaissance Squadron,US,US Air Force Reserve,,"Keesler Air Force Base, MS",Keesler Air Force Base,MS,,,,,,,,Fixed-Wing,,QC-130,
5th Special Operations Squadron,US,US Air Force Reserve,,"Hurlburt Field, FL",Hurlburt Field,FL,,,,,,,,Fixed-Wing,,"AC-130, MC-130, U-28",
63rd Air Refueling Squadron,US,US Air Force Reserve,,"MacDill Air Force Base, FL",MacDill Air Force Base,FL,,,,,,,,Fixed-Wing,,KC-135,
68th Airlift Squadron,US,US Air Force Reserve,,"Joint Base San Antonio, TX",Joint Base San Antonio,TX,,,,,,,,Fixed-Wing,,C-5,
69th Fighter Squadron,US,US Air Force Reserve,Luke AFB,"Luke Air Force Base, AZ",Luke Air Force Base,AZ,,,,,,,,Fixed-Wing,,"F-16, F-35",
700th Airlift Squadron,US,US Air Force Reserve,,"Dobbins Air Reserve Base, GA",Dobbins Air Reserve Base,GA,,,,,,,,Fixed-Wing,,C-130,
706th Fighter Squadron,US,US Air Force Reserve,Nellis AFB,"Nellis Air Force Base, NV",Nellis Air Force Base,NV,,,,,,,,Fixed-Wing,,F-16,
709th Airlift Squadron,US,US Air Force Reserve,,"Dover Air Force Base, DE",Dover Air Force Base,DE,,,,,,,,Fixed-Wing,,C-5,
70th Air Refueling Squadron,US,US Air Force Reserve,Travis AFB,"Travis AFB, CA",Travis AFB,CA,,,,,,,,Fixed-Wing,,KC-10,
711th Special Operations Squadron,US,US Air Force Reserve,,"Duke Field, FL",Duke Field,FL,,,,,,,,Fixed-Wing,,"AC-208, C145",
728th Airlift Squadron,US,US Air Force Reserve,,"Joint Base Lewis-McChord, WA",Joint Base Lewis-McChord,WA,,,,,,,,Fixed-Wing,,C-17,
729th Airlift Squadron,US,US Air Force Reserve,March ARB,"March Air Reserve Base, CA",March Air Reserve Base,CA,,,,,,,,Fixed-Wing,,C-17,
72/74 Air Refueling Squadron,US,US Air Force Reserve,,"Grissom Air Reserve Base, IN",Grissom Air Reserve Base,IN,,,,,,,,Fixed-Wing,,KC-135,
731st Airlift Squadron,US,US Air Force Reserve,,"Peterson Air Force Base, CO",Peterson Air Force Base,CO,,,,,,,,Fixed-Wing,,C-130,
732nd Airlift Squadron,US,US Air Force Reserve,,"Joint Base McGuire-Dix-Lakehurst, NJ",Joint Base McGuire-Dix-Lakehurst,NJ,,,,,,,,Fixed-Wing,,C-17,
73rd Airlift Squadron,US,US Air Force Reserve,,"Scott AFB, IL",Scott AFB,IL,,,,,,,,Fixed-Wing,,C-40,
756 Air Refueling Squadron,US,US Air Force Reserve,,"Joint Base Andrews, MD",Joint Base Andrews,MD,,,,,,,,Fixed-Wing,,KC-135,
757th Airlift Squadron,US,US Air Force Reserve,,"Youngstown-Warren Air Reserve Station, OH",Youngstown-Warren Air Reserve Station,OH,,,,,,,,Fixed-Wing,,C-130,
758th Airlift Squadron,US,US Air Force Reserve,,"Pittsburgh Air Reserve Station, PA",Pittsburgh Air Reserve Station,PA,,,,,,,,Fixed-Wing,,C-17,
76th Air Refueling Squadron,US,US Air Force Reserve,,"JB McGuire, NJ",JB McGuire,NJ,,,,,,,,Fixed-Wing,,KC-11,
76th Fighter Squadron,US,US Air Force Reserve,,"Moody Air Force Base, GA",Moody Air Force Base,GA,,,,,,,,Fixed-Wing,,A-10,
77th Air Refueling Squadron,US,US Air Force Reserve,,"Seymour Johnson AFB, NC",Seymour Johnson AFB,NC,,,,,,,,Fixed-Wing,,KC-135,
78th Air Refueling Squadron,US,US Air Force Reserve,,"JB McGuire, NJ",JB McGuire,NJ,,,,,,,,Fixed-Wing,,KC-12,
78/91 Attack Squadron,US,US Air Force Reserve,Creech AFB,"Creech Air Force Base, NV",Creech Air Force Base,NV,,,,,,,,Fixed-Wing,,MQ-9,
79th Air Refueling Squadron,US,US Air Force Reserve,Travis AFB,"Travis AFB, CA",Travis AFB,CA,,,,,,,,Fixed-Wing,,KC-13,
815th Airlift Squadron,US,US Air Force Reserve,,"Keesler Air Force Base, MI",Keesler Air Force Base,MS,,,,,,,,Fixed-Wing,,C-130,
859th Special Operations Squadron,US,US Air Force Reserve,,"Duke Field, FL",Duke Field,FL,,,,,,,,Fixed-Wing,,C-146,
89th Airlift Squadron,US,US Air Force Reserve,,"Wright-Patterson Air Force Base, OH",Wright-Patterson Air Force Base,OH,,,,,,,,Fixed-Wing,,C-17,
905th Air Refueling Squadron,US,US Air Force Reserve,,"McConnell AFB, KS",McConnell AFB,KS,,,,,,,,Fixed-Wing,,KC-47,
924th Air Refueling Squadron,US,US Air Force Reserve,,"McConnell AFB, KS",McConnell AFB,KS,,,,,,,,Fixed-Wing,,KC-48,
93rd Bomb Squadron,US,US Air Force Reserve,,"Barksdale Air Force Base, LA",Barksdale Air Force Base,LA,,,,,,,,Fixed-Wing,,B-52,
93rd Fighter Squadron,US,US Air Force Reserve,,"Homestead Air Reserve Base, FL",Homestead Air Reserve Base,FL,,,,,,,,Fixed-Wing,,F-16,
96th Airlift Squadron,US,US Air Force Reserve,,"Minneapolis-St Paul Air Reserve Station, MN",Minneapolis-St Paul Air Reserve Station,MN,,,,,,,,Fixed-Wing,,C-130,
970th Airborne Air Control Squadron,US,US Air Force Reserve,,"Tinker AFB, OK",Tinker AFB,OK,,,,,,,,Fixed-Wing,,E-3,
97th Airlift Squadron,US,US Air Force Reserve,,"Joint Base Lewis-McChord, WA",Joint Base Lewis-McChord,WA,,,,,,,,Fixed-Wing,,C-17,
"Barnes, MA",US,US Air National Guard,,"Barnes, MA",Barnes,MA,,,31.46795,-85.11882,,,Military,Fixed Wing,,,
Calder Street,US,US Army National Guard,,"Harrisburg,PA",Harrisburg,PA,,,40.2663107,-76.88611,,,,,,,
Camp Hartell,US,US Army National Guard,,"Windsor Locks,CT",Windsor Locks,CT,,,41.92296,-72.6598,,,,,,CH-47F,
Duncan Armory,US,US Army National Guard,,"New Castle,DE",New Castle,DE,,,39.6159851,-75.66296,,,,,,UH-60L,
Fort Indiantown Gap/Muir AAF,US,US Army National Guard,,"Annville,PA",Annville,PA,,,40.3295901,-76.51523,,,,,,"CH-47F, UH-60L",
Grubbs Kyle Armory,US,US Army National Guard,"Smyrna, TN","Smyrna,TN",Smyrna,TN,,,35.98284,-86.5186,,,,,,,
Lonestar AP,US,US Army National Guard,,"Conroe,TX",Conroe,TX,,,30.3118769,-95.45605,,,,,,AH-64D,
McEntire ANGB,US,US Army National Guard,,"Eastover, SC",Eastover,SC,,,33.8771147,-80.69226,,,,,,AH-64D,
Mercer County AP,US,US Army National Guard,,"West Trenton,NJ",West Trenton,NJ,,,40.263997,-74.8185,,,,,,UH-60,
Richard Av,US,US Army National Guard,,"Wheeling,WV",Wheeling,WV,,,40.0639616,-80.72091,,,,,,UH-60L,
Washington AP,US,US Army National Guard,,"Johnstown,PA",Johnstown,PA,,,40.3267407,-78.92197,,,,,,UH-60A,
Williamstown AP,US,US Army National Guard,,"Williamstown,WV",Williamstown,WV,,,39.4000046,-81.44885,,,,,,UH-60A,
"Annville, PA",US,US Army Reserve,,"Annville, PA",Annville,PA,,,40.3295901,-76.51523,,,,,,,
"Austin, TX",US,US Army Reserve,,"Austin, TX",Austin,TX,,,30.2711286,-97.7437,,,,,,,
"Baltimore, MD",US,US Army Reserve,,"Baltimore, MD",Baltimore,MD,,,39.2908816,-76.61076,,,,,,,
"Clearwater, FL",US,US Army Reserve,,"Clearwater, FL",Clearwater,FL,,,27.96585,-82.8001,,,Military,"Fixed-Wing, Rotor",,,
"Colorado Springs, CO",US,US Army Reserve,,"Colorado Springs, CO",Colorado Springs,CO,,,38.8339578,-104.82535,,,,,,,
"Colorado Springs, CO",US,US Army Reserve,,"Colorado Springs, CO",Colorado Springs,CO,,,38.8339578,-104.82535,,,,,,,
"Conroe, TX",US,US Army Reserve,,"Conroe, TX",Conroe,TX,,,30.31188,-95.45605,,,Military,Rotor,,,
"Del Valle, TX",US,US Army Reserve,,"Del Valle, TX",Del Valle,TX,,,45.7691892,-97.55668,,,,,,,
"Dobbins AFB, GA",US,US Army Reserve,,"Dobbins AFB, GA",Dobbins AFB,GA,,,33.9178438,-84.50914,,,,,,,
"Dobbins Air Force Base, GA",US,US Army Reserve,,"Dobbins Air Force Base, GA",Dobbins Air Force Base,GA,,,33.91784,-84.50914,,,Military,Fixed Wing,,,
"Fort Worth, TX",US,US Army Reserve,,"Fort Worth, TX",Fort Worth,TX,,,32.75318,-97.33275,,,Military,Fixed-Wing,,,
"Ft. Bragg, NC",US,US Army Reserve,,"Ft. Bragg, NC",Ft. Bragg,NC,,,35.14228,-78.99873,,,Military,Fixed Wing,,,
"Ft. Carson, CO",US,US Army Reserve,,"Ft. Carson, CO",Ft. Carson,CO,,,38.74154,-104.77947,,,Military,Rotor,,,
"Ft. Dix, NJ",US,US Army Reserve,,"Ft. Dix, NJ",Ft. Dix,NJ,,,40.0301105,-74.62017,,,,,,,
"Ft. Eustis, VA",US,US Army Reserve,,"Ft. Eustis, VA",Ft. Eustis,VA,,,37.12589,-76.59977,,,Military,Rotor,,,
"Ft. Hood, TX",US,US Army Reserve,,"Ft. Hood, TX",Ft. Hood,TX,,,31.20144,-97.77176,,,Military,Rotor,,,
"Ft. Knox, KY",US,US Army Reserve,"Ft. Knox, KY","Ft. Knox, KY",Ft. Knox,KY,,,37.88967,-85.96642,,,Military,Rotor,,,
"Ft. Lewis, WA",US,US Army Reserve,,"Ft. Lewis, WA",Ft. Lewis,WA,,,47.10869,-122.55498,,,Military,Rotor,,,
"Ft. Rucker, AL",US,US Army Reserve,,"Ft. Rucker, AL",Ft. Rucker,AL,,,31.45141,-85.78393,,,Military,Fixed Wing,,,
"JB McGuire-Dix-Lakehurst, NJ",US,US Army Reserve,,"JB McGuire-Dix-Lakehurst, NJ",JB McGuire,NJ,,,,,,,,,,,
"Johnstown, PA",US,US Army Reserve,,"Johnstown, PA",Johnstown,PA,,,40.3267407,-78.92197,,,,,,,
"Los Alamitos, CA",US,US Army Reserve,"Los Alamitos, CA","Los Alamitos, CA",Los Alamitos,CA,,,33.80389,-118.07724,,,Military,"Fixed-Wing, Rotor",,,
"New Century, KS",US,US Army Reserve,,"New Century, KS",New Century,KS,,,38.8352985,-94.89535,,,,,,,
"Olathe, KS",US,US Army Reserve,,"Olathe, KS",Olathe,KS,,,38.88439,-94.81611,,,Military,Rotor,,,
"MacGuire Air Force Base, NJ",US,,KWRI,"Wrightstown, NJ",Wrightstown,NJ,,,40.01558,-74.5917,,,US Army Reserve,Fixed Wing,,,
Fernando Luis San Juan (KSJU),US,,TJIG,"Carolina, PR",Carolina,PR,,,18.43662,-66.00084,,,,,,,
Pensacola International Airport,US,Flexjet,KPNS,"Pensacola, FL",Pensacola,FL,,,30.47342,-87.18661,,,Corporate,Fixed-Wing,,,
Jacksonville International Airport,US,Flexjet,KJAX,"Jacksonville, FL",Jacksonville,FL,,,30.49404,-81.68784,,,Corporate,Fixed-Wing,,,
Southwest Florida International Airport,US,Flexjet,KRSW,"Fort Meyers, FL",Fort Meyers,FL,,,26.53617,-81.75517,,,Corporate,Fixed-Wing,,,
Palm Beach International Airport,US,Flexjet,KPBI,"West Palm Beach, FL",West Palm Beach,FL,,,26.68316,-80.09559,,,Corporate,Fixed-Wing,,,
Raleigh-Durham International Airport,US,Flexjet,KRDU,"Raleigh/Durham, NC",Raleigh/Durham,NC,,,35.87764,-78.78747,,,Corporate,Fixed-Wing,,,
Albany International Airprot,US,Flexjet,KALB,"Albany, NY",Albany,NY,,,42.74911,-73.80198,,,Corporate,Fixed-Wing,,,
Syracuse Hancock International Airport,US,Flexjet,KSYR,"Syracuse, NY",Syracuse,NY,,,43.11119,-76.10631,,,Corporate,Fixed-Wing,,,
Frederick Douglass/Greater Rochester International Airport,US,Flexjet,KROC,"Rochester, NY",Rochester,NY,,,43.11914,-77.67187,,,Corporate,Fixed-Wing,,,
Bradley International Airport,US,Flexjet,KBDL,"Windsor Locks,CT",Windsor Locks,CT,,,41.93903,-72.68432,,,Corporate,Fixed-Wing,,,
Rhode Island TF Green International Airport,US,Flexjet,KPVD,"Providence, RI",Providence,RI,,,41.72233,-71.42772,,,Corporate,Fixed-Wing,,,
Portland International Jetport,US,Flexjet,KPWM,"Portland, ME",Portland,ME,,,43.64564,-70.30861,,,Corporate,Fixed-Wing,,,
Kansas City International Airport,US,Flexjet,KMCI,"Kansas City, MO",Kansas City,MO,,,39.29761,-94.71389,,,Corporate,Fixed-Wing,,,
Little Rock National Airport,US,Flexjet,KLIT,"Little Rock, AF",Little Rock,AR,,,34.27944,-92.22477,,,Corporate,Fixed-Wing,,,
El Paso International Airport,US,Flexjet,KELP,"El Paso, TX",El Paso,TX,,,31.80733,-106.37636,,,Corporate,Fixed-Wing,,,
Will Rogers World Airport,US,Flexjet,KOKC,"Oklahoma City, OK",Oklahoma City,OK,,,35.39307,-97.60076,,,Corporate,Fixed-Wing,,,
Reno/Tahoe International Airport,US,Flexjet,KRNO,"Reno, NV",Reno,NV,,,39.49911,-119.76811,,,Corporate,Fixed-Wing,,,
Sacramento Executive Airport,US,Flexjet,KSAC,"Sacramento, CA",Sacramento,CA,,,38.51286,-121.4933,,,Corporate,Fixed-Wing,,,
John Wayne/Orange County Airport,US,Flexjet,KSNA,"Santa Ana, CA",Santa Ana,CA,,,33.67566,-117.86823,,,Corporate,Fixed-Wing,,,